調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,栃木県 那須塩原市,"32,158",8.71,"7,263"
2015年度,栃木県 さくら市,-,-,"1,894"
2015年度,栃木県 那須烏山市,-,-,X
2015年度,栃木県 下野市,"33,080",6.28,"2,504"
2015年度,栃木県 上三川町,-,-,939
2015年度,栃木県 益子町,-,-,681
2015年度,栃木県 茂木町,-,-,657
2015年度,栃木県 市貝町,-,-,223
2015年度,栃木県 芳賀町,-,-,492
2015年度,栃木県 壬生町,"19,634",4.6,X
2015年度,栃木県 野木町,"13,633",2.44,X
2015年度,栃木県 塩谷町,-,-,X
2015年度,栃木県 高根沢町,"13,536",2.27,"1,023"
2015年度,栃木県 那須町,-,-,488
2015年度,栃木県 那珂川町,-,-,X
2015年度,群馬県 前橋市,"196,540",45.98,"85,814"
2015年度,群馬県 高崎市,"197,792",45.38,"37,135"
2015年度,群馬県 桐生市,"73,816",22.62,"8,287"
2015年度,群馬県 伊勢崎市,"88,772",21.83,"11,590"
2015年度,群馬県 太田市,"83,094",21.87,"17,890"
2015年度,群馬県 沼田市,"18,551",5.12,"3,485"
2015年度,群馬県 館林市,"39,149",9.49,"5,951"
2015年度,群馬県 渋川市,"13,473",4.94,"4,568"
2015年度,群馬県 藤岡市,"17,552",4.37,"2,971"
2015年度,群馬県 富岡市,"10,636",3.37,"3,095"
2015年度,群馬県 安中市,-,-,"2,624"
2015年度,群馬県 みどり市,"9,757",2.99,"2,654"
2015年度,群馬県 榛東村,-,-,134
2015年度,群馬県 吉岡町,-,-,647
2015年度,群馬県 上野村,-,-,0
2015年度,群馬県 神流町,-,-,166
2015年度,群馬県 下仁田町,-,-,511
2015年度,群馬県 南牧村,-,-,X
2015年度,群馬県 甘楽町,-,-,384
2015年度,群馬県 中之条町,-,-,"1,081"
2015年度,群馬県 長野原町,-,-,412
2015年度,群馬県 嬬恋村,-,-,363
2015年度,群馬県 草津町,-,-,440
2015年度,群馬県 高山村,-,-,0
2015年度,群馬県 東吾妻町,-,-,336
2015年度,群馬県 片品村,-,-,214
2015年度,群馬県 川場村,-,-,X
2015年度,群馬県 昭和村,-,-,X
2015年度,群馬県 みなかみ町,-,-,X
2015年度,群馬県 玉村町,"5,191",1.39,"1,795"
2015年度,群馬県 板倉町,-,-,X
2015年度,群馬県 明和町,-,-,X
2015年度,群馬県 千代田町,-,-,291
2015年度,群馬県 大泉町,"33,181",10.01,"2,131"
2015年度,群馬県 邑楽町,-,-,537
2015年度,埼玉県 さいたま市,"1,165,497",117.22,"379,638"
2015年度,埼玉県 さいたま市 西区,"63,412",8.83,"1,393"
2015年度,埼玉県 さいたま市 北区,"141,771",15.27,"4,060"
2015年度,埼玉県 さいたま市 大宮区,"113,560",12.32,"113,925"
2015年度,埼玉県 さいたま市 見沼区,"149,022",17.33,"4,694"
2015年度,埼玉県 さいたま市 中央区,"98,762",8.39,"30,876"
2015年度,埼玉県 さいたま市 桜区,"94,724",9.65,"1,627"
2015年度,埼玉県 さいたま市 浦和区,"154,383",10.94,"72,101"
2015年度,埼玉県 さいたま市 南区,"180,133",13.63,"145,230"
2015年度,埼玉県 さいたま市 緑区,"95,392",10.32,"1,927"
2015年度,埼玉県 さいたま市 岩槻区,"74,338",10.54,"3,805"
2015年度,埼玉県 川越市,"280,650",34.53,"34,603"
2015年度,埼玉県 熊谷市,"110,295",22.07,"24,517"
2015年度,埼玉県 川口市,"565,380",54.86,"36,274"
2015年度,埼玉県 行田市,"48,808",10.3,"4,245"
2015年度,埼玉県 秩父市,"27,165",7.35,"4,093"
2015年度,埼玉県 所沢市,"302,110",31.44,"37,052"
2015年度,埼玉県 飯能市,"53,104",8.68,"7,213"
2015年度,埼玉県 加須市,"42,796",8.26,"3,039"
2015年度,埼玉県 本庄市,"42,592",8.41,"6,014"
2015年度,埼玉県 東松山市,"44,162",7.12,"5,041"
